deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
50,0.02,0.01,-0.44,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.02,0.02,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.02,-0.36,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.01,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.03,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.01,0.00
50,0.02,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.01,0.03,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.02,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.02,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
51,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.00,-0.37,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.03,0.00,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.00,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.01,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.01,0.00
50,0.01,0.02,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.00,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.01,0.00,-0.00
50,0.01,0.02,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.02,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.01,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.01,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.00,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.01,-0.37,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.02,0.01,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.00,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.00,-0.44,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.02,0.02,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.02,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.03,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.02,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,-0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.00,0.01,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.01,-0.00,-0.00
50,0.01,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.03,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.00,0.02,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.01,0.00
50,0.01,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
51,0.00,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.03,0.03,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.02,0.01,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.02,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.02,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.03,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.03,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.03,0.04,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.01,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.02,0.01,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.01,-0.00
50,0.01,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.03,-0.37,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.03,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.00,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.01,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.01,0.00
50,0.00,0.01,-0.44,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.00,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.01,-0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.03,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.00,0.02,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.03,0.01,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.02,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.00,0.02,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.00,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.02,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.02,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.04,0.02,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.01,0.01,0.00
50,0.00,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.00,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.01,-0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.03,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.01,0.00,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.02,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.00,0.03,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.02,0.01,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.01,0.02,-0.36,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.01,-0.00,-0.00
51,0.01,0.00,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.03,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.01,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.03,0.01,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.01,0.00
50,0.03,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.03,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.02,0.01,-0.38,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.01,-0.00,0.00
50,0.02,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,0.00
50,0.01,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.00,-0.37,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.03,0.03,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.01,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.01,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,-0.00
50,0.00,0.03,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,0.00
50,0.00,0.02,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.01,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.02,0.01,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.01,0.00,0.00
50,0.03,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.02,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.02,-0.01,-0.44,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,-0.00
50,0.00,0.00,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.01,-0.00,0.00
51,0.02,0.00,-0.39,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.01,-0.00,0.00
50,0.03,0.00,-0.42,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.01,-0.00,0.00
50,0.01,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
50,0.03,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,-0.00,0.00
50,0.01,0.00,-0.36,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,-0.00,0.00,0.00
50,0.02,0.00,-0.41,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.03,0.01,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.01,0.00,0.00
50,0.00,0.00,-0.44,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.04,0.02,-0.40,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.01,0.00
50,0.01,0.01,-0.36,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,-0.00,-0.00
50,0.03,0.02,-0.43,-0.30,-0.31,9.79,0.99976,-0.01630,0.01538,-0.00031,0.00,-1.75,1.81,0.00,0.00,-0.00
